date_time,th,origin
2022-12-26 16:00:00,11.273,H
2022-12-26 17:00:00,11.5332,H
2022-12-26 18:00:00,11.89,H
2022-12-26 19:00:00,11.4657,H
2022-12-26 20:00:00,9.2898,H
2022-12-26 21:00:00,9.1413,H
2022-12-26 22:00:00,9.1745,H
2022-12-26 23:00:00,8.4273,H
2022-12-27 00:00:00,7.4907,H
2022-12-27 01:00:00,6.8153,H
2022-12-27 02:00:00,5.0527,H
2022-12-27 03:00:00,3.9923,H
2022-12-27 04:00:00,3.6227,H
2022-12-27 05:00:00,3.11,H
2022-12-27 06:00:00,3.3227,H
2022-12-27 07:00:00,3.693,H
2022-12-27 08:00:00,4.0272,H
2022-12-27 09:00:00,5.1055,H
2022-12-27 10:00:00,7.0002,H
2022-12-27 11:00:00,8.8668,H
2022-12-27 12:00:00,10.4072,H
2022-12-27 13:00:00,11.0915,H
2022-12-27 14:00:00,9.4225,H
2022-12-27 15:00:00,8.8762,H
2022-12-27 16:00:00,7.842,H
2022-12-27 17:00:00,5.8448,H
2022-12-27 18:00:00,4.551,H
2022-12-27 19:00:00,4.4118,H
2022-12-27 20:00:00,3.8692,H
2022-12-27 21:00:00,3.9567,H
2022-12-27 22:00:00,4.1325,H
2022-12-27 23:00:00,4.0797,H
2022-12-28 00:00:00,4.0622,H
2022-12-28 01:00:00,4.3065,H
2022-12-28 02:00:00,6.1177,H
2022-12-28 03:00:00,7.2893,H
2022-12-28 04:00:00,7.826,H
2022-12-28 05:00:00,8.6107,H
2022-12-28 06:00:00,8.4443,H
2022-12-28 07:00:00,8.4442,H
2022-12-28 08:00:00,8.311,H
2022-12-28 09:00:00,8.7762,H
2022-12-28 10:00:00,10.424,H
2022-12-28 11:00:00,12.0345,H
2022-12-28 12:00:00,11.647,H
2022-12-28 13:00:00,13.5637,H
2022-12-28 14:00:00,12.342,H
2022-12-28 15:00:00,11.2243,H
2022-12-28 16:00:00,10.9793,H
2022-12-28 17:00:00,10.9312,H
2022-12-28 18:00:00,10.8818,H
2022-12-28 19:00:00,13.0195,H
2022-12-28 20:00:00,13.743,H
2022-12-28 21:00:00,13.2127,H
2022-12-28 22:00:00,12.7138,H
2022-12-28 23:00:00,13.8555,H
2022-12-29 00:00:00,14.336,H
2022-12-29 01:00:00,14.352,H
2022-12-29 02:00:00,13.6468,H
2022-12-29 03:00:00,13.213,H
2022-12-29 04:00:00,13.1327,H
2022-12-29 05:00:00,13.0362,H
2022-12-29 06:00:00,13.7268,H
2022-12-29 07:00:00,14.224,H
2022-12-29 08:00:00,14.5597,H
2022-12-29 09:00:00,14.496,H
2022-12-29 10:00:00,14.288,H
2022-12-29 11:00:00,13.5185,H
2022-12-29 12:00:00,13.5987,H
2022-12-29 13:00:00,14.2238,H
2022-12-29 14:00:00,14.128,H
2022-12-29 15:00:00,13.5185,H
2022-12-29 16:00:00,12.665,H
2022-12-29 17:00:00,12.4073,H
2022-12-29 18:00:00,11.8897,H
2022-12-29 19:00:00,11.9707,H
2022-12-29 20:00:00,11.8407,H
2022-12-29 21:00:00,9.9818,H
2022-12-29 22:00:00,8.2102,H
