"","id","dttm","temp","lux"
"410",692,2021-12-15 20:10:00,5.45,0
"411",693,2021-12-15 20:20:00,5.552,0
"412",694,2021-12-15 20:30:00,5.45,0
"413",695,2021-12-15 20:40:00,5.347,0
"414",696,2021-12-15 20:50:00,5.347,0
"415",697,2021-12-15 21:00:00,5.45,0
"416",698,2021-12-15 21:10:00,5.244,0
"417",699,2021-12-15 21:20:00,5.347,0
"418",700,2021-12-15 21:30:00,5.244,0
"419",701,2021-12-15 21:40:00,5.347,0
"420",702,2021-12-15 21:50:00,5.347,0
"421",703,2021-12-15 22:00:00,5.347,0
"422",704,2021-12-15 22:10:00,5.141,0
"423",705,2021-12-15 22:20:00,5.141,0
"424",706,2021-12-15 22:30:00,5.037,0
"425",707,2021-12-15 22:40:00,5.037,0
"426",708,2021-12-15 22:50:00,5.244,0
"427",709,2021-12-15 23:00:00,5.244,0
"428",710,2021-12-15 23:10:00,5.244,0
"429",711,2021-12-15 23:20:00,5.141,0
"430",712,2021-12-15 23:30:00,5.244,0
"431",713,2021-12-15 23:40:00,5.141,0
"432",714,2021-12-15 23:50:00,5.141,0
"433",715,2021-12-16 00:00:00,5.141,0
"434",716,2021-12-16 00:10:00,5.141,0
"435",717,2021-12-16 00:20:00,5.037,0
"436",718,2021-12-16 00:30:00,4.934,0
"437",719,2021-12-16 00:40:00,4.934,0
"438",720,2021-12-16 00:50:00,4.934,0
"439",721,2021-12-16 01:00:00,4.934,0
"440",722,2021-12-16 01:10:00,4.934,0
"441",723,2021-12-16 01:20:00,5.037,0
"442",724,2021-12-16 01:30:00,4.934,0
"443",725,2021-12-16 01:40:00,4.934,0
"444",726,2021-12-16 01:50:00,5.037,0
"445",727,2021-12-16 02:00:00,4.934,0
"446",728,2021-12-16 02:10:00,4.934,0
"447",729,2021-12-16 02:20:00,4.831,0
"448",730,2021-12-16 02:30:00,4.727,0
"449",731,2021-12-16 02:40:00,4.831,0
"450",732,2021-12-16 02:50:00,4.727,0
"451",733,2021-12-16 03:00:00,4.831,0
"452",734,2021-12-16 03:10:00,4.831,0
"453",735,2021-12-16 03:20:00,4.623,0
"454",736,2021-12-16 03:30:00,4.519,0
"455",737,2021-12-16 03:40:00,4.623,0
"456",738,2021-12-16 03:50:00,4.519,0
"457",739,2021-12-16 04:00:00,4.519,0
"458",740,2021-12-16 04:10:00,4.415,0
"459",741,2021-12-16 04:20:00,4.415,0
"460",742,2021-12-16 04:30:00,4.415,0
"461",743,2021-12-16 04:40:00,4.415,0
"462",744,2021-12-16 04:50:00,4.415,0
"463",745,2021-12-16 05:00:00,4.311,0
"464",746,2021-12-16 05:10:00,4.311,0
"465",747,2021-12-16 05:20:00,4.415,0
"466",748,2021-12-16 05:30:00,4.311,0
"467",749,2021-12-16 05:40:00,4.415,0
"468",750,2021-12-16 05:50:00,4.311,0
"469",751,2021-12-16 06:00:00,4.311,0
"470",752,2021-12-16 06:10:00,4.207,0
"471",753,2021-12-16 06:20:00,4.102,0
"472",754,2021-12-16 06:30:00,3.893,0
"473",755,2021-12-16 06:40:00,3.788,0
"474",756,2021-12-16 06:50:00,3.788,0
"475",757,2021-12-16 07:00:00,3.472,0
"476",758,2021-12-16 07:10:00,3.367,0
"477",759,2021-12-16 07:20:00,3.683,0
"478",760,2021-12-16 07:30:00,3.788,0
"479",761,2021-12-16 07:40:00,3.788,0
"480",762,2021-12-16 07:50:00,3.788,32.3
"481",763,2021-12-16 08:00:00,3.788,150.7
"482",764,2021-12-16 08:10:00,3.683,322.9
"483",765,2021-12-16 08:20:00,3.893,592
"484",766,2021-12-16 08:30:00,3.998,893.4
"485",767,2021-12-16 08:40:00,3.998,1248.6
"486",768,2021-12-16 08:50:00,4.102,1808.3
"487",769,2021-12-16 09:00:00,4.311,2238.9
"488",770,2021-12-16 09:10:00,4.519,2755.6
"489",771,2021-12-16 09:20:00,4.831,3100
"490",772,2021-12-16 09:30:00,5.037,4133.4
"491",773,2021-12-16 09:40:00,5.347,4305.6
"492",774,2021-12-16 09:50:00,5.45,4650
"493",775,2021-12-16 10:00:00,5.552,5338.9
"494",776,2021-12-16 10:10:00,5.962,5166.7
"495",777,2021-12-16 10:20:00,5.962,4994.5
"496",778,2021-12-16 10:30:00,6.064,5338.9
"497",779,2021-12-16 10:40:00,6.064,6200
"498",780,2021-12-16 10:50:00,6.674,9644.5
"499",781,2021-12-16 11:00:00,7.079,9644.5
"500",782,2021-12-16 11:10:00,7.28,8611.2
"501",783,2021-12-16 11:20:00,7.28,9300.1
"502",784,2021-12-16 11:30:00,7.179,9300.1
"503",785,2021-12-16 11:40:00,7.28,7577.8
"504",786,2021-12-16 11:50:00,7.28,7577.8
"505",787,2021-12-16 12:00:00,7.179,6544.5
"506",788,2021-12-16 12:10:00,6.775,7577.8
"507",789,2021-12-16 12:20:00,6.978,7233.4
"508",790,2021-12-16 12:30:00,6.978,7577.8
"509",791,2021-12-16 12:40:00,7.079,7233.4
"510",792,2021-12-16 12:50:00,7.179,7233.4
"511",793,2021-12-16 13:00:00,7.179,7233.4
"512",794,2021-12-16 13:10:00,6.978,6544.5
"513",795,2021-12-16 13:20:00,6.978,6200
"514",796,2021-12-16 13:30:00,6.877,6200
"515",797,2021-12-16 13:40:00,7.079,6200
"516",798,2021-12-16 13:50:00,7.079,6544.5
"517",799,2021-12-16 14:00:00,7.179,5511.1
"518",800,2021-12-16 14:10:00,7.079,5338.9
"519",801,2021-12-16 14:20:00,6.978,5166.7
"520",802,2021-12-16 14:30:00,7.079,4994.5
"521",803,2021-12-16 14:40:00,6.978,4305.6
"522",804,2021-12-16 14:50:00,6.978,3961.1
"523",805,2021-12-16 15:00:00,6.674,3444.5
"524",806,2021-12-16 15:10:00,6.573,3444.5
"525",807,2021-12-16 15:20:00,6.471,3444.5
"526",808,2021-12-16 15:30:00,6.471,3100
"527",809,2021-12-16 15:40:00,6.471,1980.6
"528",810,2021-12-16 15:50:00,6.268,1636.1
"529",811,2021-12-16 16:00:00,6.166,1216.3
"530",812,2021-12-16 16:10:00,6.064,914.9
"531",813,2021-12-16 16:20:00,6.064,527.4
"532",814,2021-12-16 16:30:00,5.86,301.4
"533",815,2021-12-16 16:40:00,5.757,172.2
"534",816,2021-12-16 16:50:00,5.757,75.3
"535",817,2021-12-16 17:00:00,5.655,21.5
"536",818,2021-12-16 17:10:00,5.45,0
"537",819,2021-12-16 17:20:00,5.244,0
"538",820,2021-12-16 17:30:00,5.141,0
"539",821,2021-12-16 17:40:00,5.037,0
"540",822,2021-12-16 17:50:00,4.934,0
"541",823,2021-12-16 18:00:00,4.831,0
"542",824,2021-12-16 18:10:00,4.727,0
"543",825,2021-12-16 18:20:00,4.831,0
"544",826,2021-12-16 18:30:00,4.831,0
"545",827,2021-12-16 18:40:00,4.934,0
"546",828,2021-12-16 18:50:00,4.934,0
"547",829,2021-12-16 19:00:00,4.727,0
"548",830,2021-12-16 19:10:00,4.519,0
"549",831,2021-12-16 19:20:00,4.311,0
"550",832,2021-12-16 19:30:00,4.102,0
"551",833,2021-12-16 19:40:00,3.788,0
"552",834,2021-12-16 19:50:00,3.788,0
"553",835,2021-12-16 20:00:00,3.788,0
"554",836,2021-12-16 20:10:00,3.683,0
"555",837,2021-12-16 20:20:00,3.472,0
