"Plot Title: 10350004"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350004, SEN S/N: 10350004)","Intensity, Lux (LGR S/N: 10350004, SEN S/N: 10350004)","Good Battery (LGR S/N: 10350004)","Coupler Attached (LGR S/N: 10350004)","Host Connected (LGR S/N: 10350004)","Stopped (LGR S/N: 10350004)","End Of File (LGR S/N: 10350004)"
302,12/16/2019 02:10:00 AM,9.077,0.0,,,,,
303,12/16/2019 02:20:00 AM,9.373,0.0,,,,,
304,12/16/2019 02:30:00 AM,9.373,0.0,,,,,
305,12/16/2019 02:40:00 AM,9.077,0.0,,,,,
306,12/16/2019 02:50:00 AM,8.779,0.0,,,,,
307,12/16/2019 03:00:00 AM,8.680,0.0,,,,,
308,12/16/2019 03:10:00 AM,8.481,0.0,,,,,
309,12/16/2019 03:20:00 AM,8.382,0.0,,,,,
310,12/16/2019 03:30:00 AM,8.282,0.0,,,,,
311,12/16/2019 03:40:00 AM,8.082,0.0,,,,,
312,12/16/2019 03:50:00 AM,7.882,0.0,,,,,
313,12/16/2019 04:00:00 AM,7.782,0.0,,,,,
314,12/16/2019 04:10:00 AM,7.582,0.0,,,,,
315,12/16/2019 04:20:00 AM,7.381,0.0,,,,,
316,12/16/2019 04:30:00 AM,7.481,0.0,,,,,
317,12/16/2019 04:40:00 AM,8.082,0.0,,,,,
318,12/16/2019 04:50:00 AM,8.581,0.0,,,,,
319,12/16/2019 05:00:00 AM,8.581,0.0,,,,,
320,12/16/2019 05:10:00 AM,8.382,0.0,,,,,
321,12/16/2019 05:20:00 AM,7.882,0.0,,,,,
322,12/16/2019 05:30:00 AM,8.282,0.0,,,,,
323,12/16/2019 05:40:00 AM,8.481,0.0,,,,,
324,12/16/2019 05:50:00 AM,8.779,0.0,,,,,
325,12/16/2019 06:00:00 AM,8.978,0.0,,,,,
326,12/16/2019 06:10:00 AM,9.077,0.0,,,,,
327,12/16/2019 06:20:00 AM,9.077,0.0,,,,,
328,12/16/2019 06:30:00 AM,8.680,0.0,,,,,
329,12/16/2019 06:40:00 AM,8.680,0.0,,,,,
330,12/16/2019 06:50:00 AM,8.978,0.0,,,,,
331,12/16/2019 07:00:00 AM,9.077,0.0,,,,,
332,12/16/2019 07:10:00 AM,9.077,0.0,,,,,
333,12/16/2019 07:20:00 AM,8.978,0.0,,,,,
334,12/16/2019 07:30:00 AM,8.879,0.0,,,,,
335,12/16/2019 07:40:00 AM,8.978,0.0,,,,,
336,12/16/2019 07:50:00 AM,8.978,0.0,,,,,
337,12/16/2019 08:00:00 AM,8.680,21.5,,,,,
338,12/16/2019 08:10:00 AM,8.879,107.6,,,,,
339,12/16/2019 08:20:00 AM,8.978,290.6,,,,,
340,12/16/2019 08:30:00 AM,9.176,645.8,,,,,
341,12/16/2019 08:40:00 AM,9.373,1097.9,,,,,
342,12/16/2019 08:50:00 AM,9.571,1636.1,,,,,
343,12/16/2019 09:00:00 AM,9.965,2152.8,,,,,
344,12/16/2019 09:10:00 AM,10.259,2755.6,,,,,
