id	date	time	temp	lux
558	2017-12-16	22:25:00	3.049	0
559	2017-12-16	22:30:00	3.049	0
560	2017-12-16	22:35:00	3.049	0
561	2017-12-16	22:40:00	3.155	0
562	2017-12-16	22:45:00	3.261	0
563	2017-12-16	22:50:00	3.261	0
564	2017-12-16	22:55:00	3.367	0
565	2017-12-16	23:00:00	3.367	0
566	2017-12-16	23:05:00	3.261	0
567	2017-12-16	23:10:00	3.261	0
568	2017-12-16	23:15:00	3.261	0
569	2017-12-16	23:20:00	3.367	0
570	2017-12-16	23:25:00	3.683	0
571	2017-12-16	23:30:00	3.788	0
572	2017-12-16	23:35:00	3.578	0
573	2017-12-16	23:40:00	3.472	0
574	2017-12-16	23:45:00	3.578	0
575	2017-12-16	23:50:00	3.788	0
576	2017-12-16	23:55:00	4.207	0
577	2017-12-17	00:00:00	4.415	0
578	2017-12-17	00:05:00	3.893	0
579	2017-12-17	00:10:00	3.998	0
580	2017-12-17	00:15:00	4.102	0
581	2017-12-17	00:20:00	3.998	0
582	2017-12-17	00:25:00	4.415	0
583	2017-12-17	00:30:00	4.207	0
584	2017-12-17	00:35:00	4.207	0
585	2017-12-17	00:40:00	3.998	0
586	2017-12-17	00:45:00	3.998	0
587	2017-12-17	00:50:00	3.788	0
588	2017-12-17	00:55:00	4.102	0
589	2017-12-17	01:00:00	4.311	0
590	2017-12-17	01:05:00	3.893	0
591	2017-12-17	01:10:00	4.102	0
592	2017-12-17	01:15:00	4.207	0
593	2017-12-17	01:20:00	3.788	0
594	2017-12-17	01:25:00	3.683	0
595	2017-12-17	01:30:00	3.472	0
596	2017-12-17	01:35:00	3.683	0
597	2017-12-17	01:40:00	3.683	0
598	2017-12-17	01:45:00	3.578	0
599	2017-12-17	01:50:00	3.367	0
600	2017-12-17	01:55:00	3.367	0
601	2017-12-17	02:00:00	3.367	0
602	2017-12-17	02:05:00	3.367	0
603	2017-12-17	02:10:00	3.261	0
604	2017-12-17	02:15:00	3.155	0
605	2017-12-17	02:20:00	3.049	0
606	2017-12-17	02:25:00	3.049	0
607	2017-12-17	02:30:00	3.049	0
608	2017-12-17	02:35:00	3.049	0
609	2017-12-17	02:40:00	2.943	0
610	2017-12-17	02:45:00	2.943	0
611	2017-12-17	02:50:00	3.049	0
612	2017-12-17	02:55:00	3.049	0
613	2017-12-17	03:00:00	3.049	0
614	2017-12-17	03:05:00	3.049	0
615	2017-12-17	03:10:00	3.261	0
616	2017-12-17	03:15:00	3.367	0
617	2017-12-17	03:20:00	3.367	0
618	2017-12-17	03:25:00	3.788	0
619	2017-12-17	03:30:00	3.893	0
620	2017-12-17	03:35:00	3.578	0
621	2017-12-17	03:40:00	3.472	0
622	2017-12-17	03:45:00	3.367	0
623	2017-12-17	03:50:00	3.261	0
624	2017-12-17	03:55:00	3.683	0
625	2017-12-17	04:00:00	3.472	0
626	2017-12-17	04:05:00	3.683	0
627	2017-12-17	04:10:00	3.788	0
628	2017-12-17	04:15:00	3.472	0
629	2017-12-17	04:20:00	3.367	0
630	2017-12-17	04:25:00	3.261	0
631	2017-12-17	04:30:00	3.788	0
632	2017-12-17	04:35:00	3.578	0
633	2017-12-17	04:40:00	3.367	0
634	2017-12-17	04:45:00	3.367	0
635	2017-12-17	04:50:00	3.261	0
636	2017-12-17	04:55:00	3.261	0
637	2017-12-17	05:00:00	3.155	0
638	2017-12-17	05:05:00	3.155	0
639	2017-12-17	05:10:00	3.367	0
640	2017-12-17	05:15:00	3.261	0
641	2017-12-17	05:20:00	3.261	0
642	2017-12-17	05:25:00	3.261	0
