,dttm,th,origin
536,2022-01-04 07:00:00,13.9253333333333,H
537,2022-01-04 08:00:00,15.0275,H
538,2022-01-04 09:00:00,15.2505,H
539,2022-01-04 10:00:00,15.8393333333333,H
540,2022-01-04 11:00:00,16.4273333333333,H
541,2022-01-04 12:00:00,15.6318333333333,H
542,2022-01-04 13:00:00,13.6378333333333,H
543,2022-01-04 14:00:00,12.2871666666667,H
544,2022-01-04 15:00:00,12.1585,H
545,2022-01-04 16:00:00,12.207,H
546,2022-01-04 17:00:00,10.3846666666667,H
547,2022-01-04 18:00:00,8.19866666666667,H
548,2022-01-04 19:00:00,7.61483333333333,H
549,2022-01-04 20:00:00,6.06366666666667,H
550,2022-01-04 21:00:00,5.55216666666667,H
551,2022-01-04 22:00:00,5.706,H
552,2022-01-04 23:00:00,5.56916666666667,H
553,2022-01-05 00:00:00,5.501,H
554,2022-01-05 01:00:00,5.77433333333333,H
555,2022-01-05 02:00:00,6.132,H
556,2022-01-05 03:00:00,6.319,H
557,2022-01-05 04:00:00,6.081,H
558,2022-01-05 05:00:00,5.82566666666667,H
559,2022-01-05 06:00:00,4.9855,H
560,2022-01-05 07:00:00,4.623,H
561,2022-01-05 08:00:00,3.89233333333333,H
562,2022-01-05 09:00:00,3.85733333333333,H
563,2022-01-05 10:00:00,4.84566666666667,H
564,2022-01-05 11:00:00,3.5755,H
565,2022-01-05 12:00:00,5.10616666666667,H
566,2022-01-05 13:00:00,5.08766666666667,H
567,2022-01-05 14:00:00,5.27766666666667,H
568,2022-01-05 15:00:00,4.46633333333333,H
569,2022-01-05 16:00:00,4.06733333333333,H
570,2022-01-05 17:00:00,3.34833333333333,H
571,2022-01-05 18:00:00,2.97833333333333,H
572,2022-01-05 19:00:00,3.11966666666667,H
573,2022-01-05 20:00:00,3.24333333333333,H
574,2022-01-05 21:00:00,3.19033333333333,H
575,2022-01-05 22:00:00,3.17266666666667,H
576,2022-01-05 23:00:00,3.06666666666667,H
577,2022-01-06 00:00:00,3.27866666666667,H
578,2022-01-06 01:00:00,3.208,H
579,2022-01-06 02:00:00,3.06666666666667,H
580,2022-01-06 03:00:00,2.44533333333333,H
581,2022-01-06 04:00:00,2.392,H
582,2022-01-06 05:00:00,2.606,H
583,2022-01-06 06:00:00,2.76566666666667,H
584,2022-01-06 07:00:00,2.5525,H
