dttm,my_hobo
2022-01-08 04:00:00,4.415
2022-01-08 05:00:00,4.4322
2022-01-08 06:00:00,4.5017
2022-01-08 07:00:00,4.1545
2022-01-08 08:00:00,3.5245
2022-01-08 09:00:00,3.0137
2022-01-08 10:00:00,3.7522
2022-01-08 11:00:00,4.4312
2022-01-08 12:00:00,NA
2022-01-08 13:00:00,6.6563
2022-01-08 14:00:00,6.251
2022-01-08 15:00:00,6.3528
2022-01-08 16:00:00,6.3357
2022-01-08 17:00:00,6.047
2022-01-08 18:00:00,6.4205
2022-01-08 19:00:00,6.4712
2022-01-08 20:00:00,7.078
2022-01-08 21:00:00,7.7487
2022-01-08 22:00:00,7.6318
2022-01-08 23:00:00,7.5148
2022-01-09 00:00:00,7.3628
2022-01-09 01:00:00,6.8087
2022-01-09 02:00:00,7.5315
2022-01-09 03:00:00,7.4308
2022-01-09 04:00:00,6.843
2022-01-09 05:00:00,5.3453
2022-01-09 06:00:00,4.7097
2022-01-09 07:00:00,4.7097
2022-01-09 08:00:00,4.6403
2022-01-09 09:00:00,4.6057
2022-01-09 10:00:00,4.9683
2022-01-09 11:00:00,6.0277
2022-01-09 12:00:00,6.1483
2022-01-09 13:00:00,6.1315
2022-01-09 14:00:00,6.5045
2022-01-09 15:00:00,6.9267
2022-01-09 16:00:00,6.4375
2022-01-09 17:00:00,5.5517
2022-01-09 18:00:00,5.1922
2022-01-09 19:00:00,4.9857
2022-01-09 20:00:00,NA
2022-01-09 21:00:00,4.9157
2022-01-09 22:00:00,3.4372
2022-01-09 23:00:00,3.3668
