Logger_id,Location_id,time,PM10,PM25
5001-C1A5,1,2019-01-18 11:19:50+00,16.6,11.4
5001-C1A5,1,2019-01-18 11:19:52+00,16.3,11.5
5001-C1A5,1,2019-01-18 11:19:54+00,14.8,11.3
5001-C1A5,1,2019-01-18 11:19:56+00,14.5,10.9
5001-C1A5,1,2019-01-18 11:19:58+00,15.3,10.9
5001-C1A5,1,2019-01-18 11:20:01+00,15.4,10.8
5001-C1A5,1,2019-01-18 11:20:05+00,17.8,10.8
5001-C1A5,1,2019-01-18 11:20:07+00,18.8,10.8
5001-C1A5,1,2019-01-18 11:20:09+00,18.1,10.7
5001-C1A5,1,2019-01-18 11:20:11+00,17.7,10.6
5001-C1A5,1,2019-01-18 11:20:15+00,19,10.6
5001-C1A5,1,2019-01-18 11:20:17+00,19.5,10.4
5001-C1A5,1,2019-01-18 11:20:19+00,19.7,10.3
5001-C1A5,1,2019-01-18 11:20:21+00,19.9,10.3
5001-C1A5,1,2019-01-18 11:20:25+00,21.1,10.7
5001-C1A5,1,2019-01-18 11:20:27+00,22.1,10.8
5001-C1A5,1,2019-01-18 11:20:29+00,22.4,10.6
5001-C1A5,1,2019-01-18 11:20:31+00,23,10.8
5001-C1A5,1,2019-01-18 11:20:35+00,21.1,10.5
5001-C1A5,1,2019-01-18 11:20:37+00,19.6,10.7
5001-C1A5,1,2019-01-18 11:20:39+00,19.5,10.6
5001-C1A5,1,2019-01-18 11:20:41+00,19.4,10.3
5001-C1A5,1,2019-01-18 11:20:45+00,17.7,9.9
5001-C1A5,1,2019-01-18 11:20:47+00,17.3,10.1
5001-C1A5,1,2019-01-18 11:20:49+00,18.1,10.1
5001-C1A5,1,2019-01-18 11:20:51+00,17.3,10
5001-C1A5,1,2019-01-18 11:20:55+00,15.8,9.9
5001-C1A5,1,2019-01-18 11:20:57+00,15.3,9.7
5001-C1A5,1,2019-01-18 11:20:59+00,15.8,9.8
5001-C1A5,1,2019-01-18 11:21:01+00,15.1,9.7
5001-C1A5,1,2019-01-18 11:21:05+00,14.8,9.4
5001-C1A5,1,2019-01-18 11:21:07+00,15,9.1
5001-C1A5,1,2019-01-18 11:21:09+00,14.7,9.2
5001-C1A5,1,2019-01-18 11:21:11+00,14.7,9.3
5001-C1A5,1,2019-01-18 11:21:13+00,15,9.5
5001-C1A5,1,2019-01-18 11:21:15+00,14.8,9.5
5001-C1A5,1,2019-01-18 11:21:18+00,14.7,9.1
5001-C1A5,1,2019-01-18 11:21:20+00,14.6,9.3
5001-C1A5,1,2019-01-18 11:21:22+00,15.1,9.2
5001-C1A5,1,2019-01-18 11:21:26+00,14.9,9.3
5001-C1A5,1,2019-01-18 11:21:28+00,14.5,9
5001-C1A5,1,2019-01-18 11:21:30+00,14.4,9
5001-C1A5,1,2019-01-18 11:21:32+00,17,9
5001-C1A5,1,2019-01-18 11:21:36+00,19.1,9.5
5001-C1A5,1,2019-01-18 11:21:38+00,19.2,9.5
5001-C1A5,1,2019-01-18 11:21:40+00,20.3,9.8
5001-C1A5,1,2019-01-18 11:21:42+00,20,9.9
5001-C1A5,1,2019-01-18 11:21:46+00,20,10
5001-C1A5,1,2019-01-18 11:21:48+00,19.7,10.2
5001-C1A5,1,2019-01-18 11:21:50+00,19.2,10.1
5001-C1A5,1,2019-01-18 11:21:52+00,19.4,10.3
5001-C1A5,1,2019-01-18 11:21:56+00,19.2,10.4
5001-C1A5,1,2019-01-18 11:21:58+00,18.6,10.4
5001-C1A5,1,2019-01-18 11:22:00+00,18.7,10.5
5001-C1A5,1,2019-01-18 11:22:02+00,16.2,10.4
5001-C1A5,1,2019-01-18 11:22:06+00,12.7,9.9
5001-C1A5,1,2019-01-18 11:22:08+00,12.8,9.7
5001-C1A5,1,2019-01-18 11:22:10+00,11.9,9.6
5001-C1A5,1,2019-01-18 11:22:12+00,11.8,9.5
5001-C1A5,1,2019-01-18 11:22:16+00,12,9.5
5001-C1A5,1,2019-01-18 11:22:17+00,12,9.3
5001-C1A5,1,2019-01-18 11:22:19+00,12.2,9.4
5001-C1A5,1,2019-01-18 11:22:21+00,11.6,9.3
5001-C1A5,1,2019-01-18 11:22:23+00,11.5,9.5
5001-C1A5,1,2019-01-18 11:22:25+00,11.4,9.4
5001-C1A5,1,2019-01-18 11:22:27+00,11.6,9.6
5001-C1A5,1,2019-01-18 11:22:29+00,10.6,9.5
5001-C1A5,1,2019-01-18 11:22:31+00,10.6,9.3
5001-C1A5,1,2019-01-18 11:22:33+00,10.5,9.4
5001-C1A5,1,2019-01-18 11:22:36+00,10.6,9.5
5001-C1A5,1,2019-01-18 11:22:38+00,10.9,9.5
5001-C1A5,1,2019-01-18 11:22:40+00,11,9.3
5001-C1A5,1,2019-01-18 11:22:42+00,11.3,9.5
5001-C1A5,1,2019-01-18 11:22:46+00,10.8,9.2
5001-C1A5,1,2019-01-18 11:22:48+00,11,9.3
5001-C1A5,1,2019-01-18 11:22:50+00,11.3,9.3
5001-C1A5,1,2019-01-18 11:22:52+00,10.9,9.2
5001-C1A5,1,2019-01-18 11:22:56+00,11.7,9.1
5001-C1A5,1,2019-01-18 11:22:58+00,11.7,9.3
5001-C1A5,1,2019-01-18 11:23:00+00,11.7,9.5
5001-C1A5,1,2019-01-18 11:23:02+00,12.1,9.4
5001-C1A5,1,2019-01-18 11:23:06+00,12.2,9.5
5001-C1A5,1,2019-01-18 11:23:08+00,11.8,9.4
5001-C1A5,1,2019-01-18 11:23:10+00,11.8,9.7
5001-C1A5,1,2019-01-18 11:23:12+00,11.8,9.7
5001-C1A5,1,2019-01-18 11:23:16+00,12.6,10
5001-C1A5,1,2019-01-18 11:23:18+00,13.4,10.1
5001-C1A5,1,2019-01-18 11:23:20+00,13.6,10.1
5001-C1A5,1,2019-01-18 11:23:22+00,15.1,10.4
5001-C1A5,1,2019-01-18 11:23:26+00,17.5,10.7
5001-C1A5,1,2019-01-18 11:23:28+00,17.3,10.5
5001-C1A5,1,2019-01-18 11:23:30+00,17.6,10.6
5001-C1A5,1,2019-01-18 11:23:32+00,18,10.9
5001-C1A5,1,2019-01-18 11:23:36+00,19.3,11
5001-C1A5,1,2019-01-18 11:23:38+00,19.1,11.1
5001-C1A5,1,2019-01-18 11:23:40+00,19.4,11
5001-C1A5,1,2019-01-18 11:23:42+00,19.5,11.1
5001-C1A5,1,2019-01-18 11:23:46+00,18.6,11
5001-C1A5,1,2019-01-18 11:23:48+00,19.1,10.9
5001-C1A5,1,2019-01-18 11:23:50+00,19.8,10.9
5001-C1A5,2,2019-01-18 11:37:53+00,12,9.5
5001-C1A5,2,2019-01-18 11:37:55+00,11.8,9.5
5001-C1A5,2,2019-01-18 11:37:57+00,11.5,9.5
5001-C1A5,2,2019-01-18 11:38:01+00,11.5,9.4
5001-C1A5,2,2019-01-18 11:38:03+00,11.7,9.5
