"ID","date","hour","th","origin"
"596",2019-01-03,19,1.818,"H"
"597",2019-01-03,20,1.656,"H"
"598",2019-01-03,21,1.494,"H"
"599",2019-01-03,22,1.239,"H"
"600",2019-01-03,23,0.966,"H"
"601",2019-01-04,0,0.692,"H"
"602",2019-01-04,1,1.107,"R"
"603",2019-01-04,2,0.49,"H"
"604",2019-01-04,3,0.343,"H"
"605",2019-01-04,4,-0.269,"H"
"606",2019-01-04,5,-0.381,"H"
"607",2019-01-04,6,-0.888,"H"
"608",2019-01-04,7,-1.133,"H"
"609",2019-01-04,8,-1.303,"H"
"610",2019-01-04,9,-0.738,"H"
"611",2019-01-04,10,-0.047,"H"
"612",2019-01-04,11,1.957,"H"
"613",2019-01-04,12,2.817,"R"
"614",2019-01-04,13,2.819,"H"
"615",2019-01-04,14,3.654,"R"
"616",2019-01-04,15,3.445,"R"
"617",2019-01-04,16,2.854,"H"
"618",2019-01-04,17,2.123,"H"
"619",2019-01-04,18,1.953,"R"
"620",2019-01-04,19,2.015,"H"
"621",2019-01-04,20,1.862,"R"
"622",2019-01-04,21,2.088,"H"
"623",2019-01-04,22,2.285,"H"
"624",2019-01-04,23,2.016,"H"
"625",2019-01-05,0,1.818,"H"
"626",2019-01-05,1,1.926,"H"
"627",2019-01-05,2,1.98,"H"
"628",2019-01-05,3,1.944,"H"
"629",2019-01-05,4,2.108,"R"
"630",2019-01-05,5,2.034,"H"
"631",2019-01-05,6,2.016,"H"
"632",2019-01-05,7,1.98,"R"
"633",2019-01-05,8,1.8,"H"
"634",2019-01-05,9,2.07,"H"
"635",2019-01-05,10,2.159,"H"
"636",2019-01-05,11,2.784,"H"
"637",2019-01-05,12,2.855,"H"
"638",2019-01-05,13,2.872,"H"
"639",2019-01-05,14,2.978,"H"
"640",2019-01-05,15,3.155,"H"
"641",2019-01-05,16,3.409,"R"
"642",2019-01-05,17,2.978,"H"
"643",2019-01-05,18,3.067,"H"
"644",2019-01-05,19,3.226,"H"
"645",2019-01-05,20,3.296,"H"
"646",2019-01-05,21,3.367,"H"
"647",2019-01-05,22,3.542,"H"
"648",2019-01-05,23,3.208,"H"
"649",2019-01-06,0,3.56,"H"
"650",2019-01-06,1,3.42,"H"
"651",2019-01-06,2,3.031,"H"
"652",2019-01-06,3,3.102,"H"
"653",2019-01-06,4,3.455,"H"
"654",2019-01-06,5,3.56,"H"
"655",2019-01-06,6,3.736,"H"
"656",2019-01-06,7,3.858,"H"
"657",2019-01-06,8,3.84,"H"
"658",2019-01-06,9,3.963,"H"
"659",2019-01-06,10,4.502,"H"
"660",2019-01-06,11,4.778,"H"
"661",2019-01-06,12,5.535,"H"
"662",2019-01-06,13,5.158,"H"
"663",2019-01-06,14,5.003,"H"
"664",2019-01-06,15,4.727,"H"
"665",2019-01-06,16,4.536,"H"
"666",2019-01-06,17,4.189,"H"
"667",2019-01-06,18,4.033,"H"
"668",2019-01-06,19,3.875,"H"
"669",2019-01-06,20,3.788,"H"
"670",2019-01-06,21,3.805,"H"
"671",2019-01-06,22,3.858,"H"
"672",2019-01-06,23,3.618,"R"
